word,count
단체장,1
권한,1
명령,1
소수,1
소외,1
작동,1
가게,1
진리,1
체험,1
유일한,1
독립운동,1
민주공화국,1
국민주권,1
삼권,1
분립,1
복원,1
국민의 힘,1
지난날,1
탈북자,1
비난,1
창구,1
얼음,1
조심,1
공세,1
합작,1
먹구름,1
마주,1
동계,1
자주,1
반목,1
오해,1
군사분계선,1
일대,1
살포,1
행위,1
천명,1
요청,1
훈풍,1
하루아침,1
개척,1
공존공영,1
웅비,1
금요일,1
매물도,1
어망,1
표류,1
인명,1
침몰,1
대피,1
신고,1
도착,1
숙달,1
단축,1
인명구조,1
경찰의 날,1
감안,1
변경,1
외면,1
메이,1
세계지식포럼,1
다자,1
병력,1
파병,1
혈맹,1
보편,1
엘리자베스,1
여왕,1
존슨,1
우방국,1
우의,1
소개,1
네트워크,1
생산성,1
디지털 경제,1
추격,1
균형발전,1
김경수,1
지사,1
남도,1
르네상스,1
시화,1
남동,1
구미,1
시화공단,1
양팔,1
로봇,1
편견,1
바이어,1
소식,1
평균,1
매출,1
전자,1
보유,1
동남권,1
산학,1
부산,1
수입,1
디지털화,1
고도,1
주행,1
셔틀,1
무인,1
특장,1
플랫폼,1
관제,1
안전사고,1
규제,1
샌드박스,1
지능형 로봇,1
바이오,1
헬스,1
클린,1
팩토리,1
물질,1
제거,1
폐기물,1
원료,1
발전소,1
천연가스,1
청정에너지,1
사용,1
시범,1
시내버스,1
교체,1
개별,1
에너지관,1
리시,1
스템,1
절약,1
에너지 효율,1
비중,1
관건,1
대학,1
복합,1
서구,1
반세기,1
한류,1
한국불교종단협의회,1
조계종,1
원행,1
수석,1
부회장,1
천태종,1
문덕,1
종단,1
큰스님,1
자비,1
심성,1
중생,1
초기,1
사찰,1
산문,1
부처님 오신 날,1
봉축,1
요식,1
연등회,1
전격,1
취소,1
계엄령,1
연등,1
행렬,1
등불,1
문화유산,1
여부,1
용단,1
고마움,1
위안,1
불자,1
장기,1
이달,1
협의체,1
병행,1
비상,1
경각심,1
싸움,1
기와,1
국난,1
라도,1
북녘,1
비무장,1
화살,1
고지,1
유해,1
무력,1
지지가,1
감격,1
대내외,1
제약,1
로드,1
아름드리,1
가득,1
토요일,1
날짜,1
하늘,1
장소,1
녹지,1
글자,1
나이,1
순수,1
정의,1
무한,1
상상력,1
서명,1
등산로,1
호응,1
조례,1
시도,1
설계,1
종합운동장,1
근육,1
다음,1
상상,1
실험,1
종목,1
허심탄회,1
만연,1
기득,1
대물림,1
정경,1
유착,1
제기,1
분노,1
관성,1
특혜,1
초래,1
정규,1
비정규직,1
시행착오,1
정이,1
호흡,1
순환출자,1
대부분,1
하도급,1
가맹점,1
거래,1
관행,1
상법,1
실태,1
전수,1
서열,1
고교,1
대입,1
직장 내 괴롭힘,1
금지법,1
탈세,1
스포츠,1
부동산,1
실수요자,1
투기,1
억제,1
숙련공,1
공부,1
시험,1
입증,1
이든,1
어르신,1
삶의 질,1
예전,1
폐업,1
고민,1
보금자리,1
기존,1
특별,1
구직,1
지원금,1
소상,1
공인,1
자금,1
신혼,1
타운,1
공적,1
임대,1
장려금,1
학자금,1
무기,1
의사소통,1
감수성,1
내일,1
동등,1
출발선,1
낯선,1
아이들,1
피아니스트,1
임동혁,1
위원,1
심화,1
양극,1
추세,1
반전,1
분배,1
지표,1
예기,1
사태,1
악화,1
임시직,1
일용직,1
영세,1
우선,1
보험의,1
가입,1
대상,1
기초,1
안착,1
생활고,1
요건,1
제때,1
속도감,1
집행,1
빈틈,1
습기,1
양의,1
무자,1
폐지,1
종사,1
강도,1
지원책,1
총력,1
실직자,1
재기,1
발판,1
지출,1
맞춤,1
프랜차이즈,1
자발,1
조달,1
강구,1
대타협,1
노사정,1
물꼬,1
양보,1
산발,1
꼬리,1
등교,1
수업,1
다행,1
선생님,1
지침,1
주신,1
날씨,1
일선,1
고충,1
